,Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
3484,1536645,2014-01-01,M4E,7.80
3482,1536641,2014-01-03,M1L,0.0920
3475,1535461,2014-01-09,M4G,0.880
3476,1535457,2014-01-09,M4C,1.60
3474,1537589,2014-01-10,M4C,<0.0500
3471,1536622,2014-01-13,M6P,0.460
3462,1545982,2014-01-16,M6P,0.360
3463,1546030,2014-01-16,M6P,4.40
3460,1540984,2014-01-19,M9B,0.780
3444,1541356,2014-01-28,M6R,12.0
3443,1545983,2014-01-29,M4P,0.230
3403,1551409,2014-02-25,M1M,0.0600
3400,1555569,2014-03-02,M3M,<0.0500
3399,1556417,2014-03-06,M6J,2.60
3398,1555544,2014-03-07,M6M,2.50
3397,1556416,2014-03-07,M4J,0.690
3396,1555515,2014-03-08,M4B,0.0560
3394,1555510,2014-03-10,M6K,2.40
3395,1565880,2014-03-10,M4P,<0.0500
3393,1556418,2014-03-11,M6J,0.930
3392,1565882,2014-03-11,M6M,0.0619
3391,1556414,2014-03-11,M6P,0.0790
3390,1556412,2014-03-11,M4S,0.270
3389,1556415,2014-03-11,M6J,7.60
3388,1559196,2014-03-13,M4C,0.120
3387,1559192,2014-03-14,M3H,0.0680
3386,1565881,2014-03-14,M4K,0.258
3385,1562001,2014-03-17,M4K,0.220
3384,1560885,2014-03-17,M6J,8.40
3383,1565892,2014-03-18,M3J,0.0938
3382,1562005,2014-03-18,M5P,2.40
3381,1559191,2014-03-19,M4L,0.140
3377,1561989,2014-03-20,M4C,3.00
3378,1559203,2014-03-20,M1P,0.320
3379,1562002,2014-03-20,M6K,1.90
3380,1561990,2014-03-20,M4L,7.00
3376,1561992,2014-03-21,M4C,0.850
3375,1561993,2014-03-21,M4M,2.90
3374,1565894,2014-03-23,M4N,0.249
3373,1560886,2014-03-23,M6R,2.20
3372,1560883,2014-03-24,M8V,<0.0500
3371,1561988,2014-03-24,M6H,1.90
3370,1562000,2014-03-24,M4C,4.70
3369,1561991,2014-03-25,M4L,5.10
3368,1560882,2014-03-25,M8W,3.60
3367,1560771,2014-03-26,M1H,0.0500
3366,1561999,2014-03-26,M4G,3.70
3365,1560884,2014-03-26,M9C,0.260
3363,1567257,2014-03-27,M4M,3.78
3364,1564745,2014-03-27,M6H,0.117
3362,1568757,2014-03-28,M6H,0.732
3361,1563706,2014-03-28,M1L,0.139
3360,1567271,2014-03-31,M6N,3.80
3359,1567270,2014-03-31,M6H,0.472
3358,1564734,2014-03-31,M9R,<0.0500
3357,1567273,2014-03-31,M6H,0.962
3356,1564736,2014-03-31,M6H,0.108
3354,1563708,2014-04-01,M4J,2.57
3351,1563707,2014-04-01,M4L,0.802
3349,1564733,2014-04-02,M9R,0.199
3348,1567259,2014-04-02,M6K,5.66
3344,1567228,2014-04-04,M4G,3.36
3342,1567226,2014-04-05,M4C,3.28
3341,1565893,2014-04-06,M3H,0.0990
3338,1565885,2014-04-07,M2N,0.204
3333,1567248,2014-04-08,M1N,0.539
3337,1568412,2014-04-08,M4S,0.0843
3336,1567268,2014-04-08,M5N,0.773
3331,1568415,2014-04-09,M1N,1.37
3328,1568413,2014-04-10,M4L,6.25
3320,1570901,2014-04-14,M6J,<0.0500
3321,1569992,2014-04-14,M4L,5.17
3322,1570003,2014-04-14,M4J,0.0945
3315,1573341,2014-04-16,M6C,0.298
3314,1570002,2014-04-16,M4V,0.163
3313,1573056,2014-04-17,M2M,0.500
3311,1573356,2014-04-21,M6S,<0.0500
3310,1575139,2014-04-22,M4T,3.18
3308,1570904,2014-04-22,M6N,4.31
3309,1575137,2014-04-22,M1N,0.559
3306,1573369,2014-04-23,M8V,0.130
3302,1576198,2014-04-23,M5R,0.459
3301,1573048,2014-04-23,M4G,0.0868
3290,1583973,2014-04-25,M1M,0.313
3294,1583822,2014-04-25,M4E,<0.0500
3285,1574999,2014-04-27,M4J,0.200
3277,1575144,2014-04-30,M6J,13.2
