,PWSName,FIPS_5,CNTY_OR_CITY,POPULATION,ANALYTE_NAME,Concentration in µg/L,COLLECT_DT
2064,ACSA URBAN AREA,51003,ALBEMARLE,61673,LEAD,0.0,2014-01-14
7571,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,3.53,2014-01-28
7572,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,0.0,2014-01-28
7573,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,0.0,2014-01-28
7574,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,2.98,2014-01-28
7575,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,0.0,2014-01-28
7576,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,0.0,2014-01-28
7577,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,0.0,2014-01-28
7578,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,0.0,2014-01-28
7579,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,2.54,2014-01-28
7580,DOCKSIDE HEALTH & REHAB,51119,MIDDLESEX,150,LEAD,6.25,2014-01-28
10316,"DANVILLE, CITY OF",51590,DANVILLE,43055,LEAD,0.0,2014-02-07
910,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.6,2014-03-06
901,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.4,2014-03-06
906,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,9.5,2014-03-06
9071,CUMBERLAND COUNTY WATER SYSTEM,51049,CUMBERLAND,1840,LEAD,0.0,2014-03-10
9072,CUMBERLAND COUNTY WATER SYSTEM,51049,CUMBERLAND,1840,LEAD,0.0,2014-03-10
8776,PLEASANT GROVE SUBDIVISION,51025,BRUNSWICK,85,LEAD,0.0,2014-03-11
7943,POTOMAC BAY ESTATES,51133,NORTHUMBERLAND,75,LEAD,17.5,2014-03-11
3153,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-12
7942,POTOMAC BAY ESTATES,51133,NORTHUMBERLAND,75,LEAD,0.0,2014-03-12
3160,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,3.8,2014-03-12
7940,POTOMAC BAY ESTATES,51133,NORTHUMBERLAND,75,LEAD,12.4,2014-03-12
3149,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-12
3159,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,5.2,2014-03-12
7941,POTOMAC BAY ESTATES,51133,NORTHUMBERLAND,75,LEAD,19.5,2014-03-12
3157,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-12
3150,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-12
8773,PLEASANT GROVE SUBDIVISION,51025,BRUNSWICK,85,LEAD,0.7,2014-03-12
3155,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,6.1,2014-03-12
3154,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,1.4,2014-03-12
893,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,3.7,2014-03-13
895,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,1.5,2014-03-13
7939,POTOMAC BAY ESTATES,51133,NORTHUMBERLAND,75,LEAD,0.0,2014-03-17
9068,CUMBERLAND COUNTY WATER SYSTEM,51049,CUMBERLAND,1840,LEAD,0.0,2014-03-18
8225,HORNERS BEACH,51193,WESTMORELAND,95,LEAD,0.0,2014-03-18
8228,HORNERS BEACH,51193,WESTMORELAND,95,LEAD,0.0,2014-03-18
3899,LOVING ARMS ASSISTED LIVING FACILITY,51187,WARREN,98,LEAD,0.0,2014-03-19
3901,LOVING ARMS ASSISTED LIVING FACILITY,51187,WARREN,98,LEAD,0.0,2014-03-19
3902,LOVING ARMS ASSISTED LIVING FACILITY,51187,WARREN,98,LEAD,0.0,2014-03-19
3147,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,7.8,2014-03-24
3139,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,6.9,2014-03-24
3145,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-24
3141,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,3.2,2014-03-24
3146,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,7.4,2014-03-24
3144,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,1.5,2014-03-24
3140,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,16.0,2014-03-24
3136,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-28
3137,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-28
3133,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-28
3127,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-28
3128,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-28
3134,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-28
3132,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,1.0,2014-03-28
3135,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,0.0,2014-03-28
3124,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,3.2,2014-03-31
3122,NCSA - WINTERGREEN,51125,NELSON,6714,LEAD,1.7,2014-03-31
