,0,Lead Amount ppb,Partial Postal Code,Sample Number,Sampled Date
3403,,0.0600,M1M,1551409.0,2014-02-25
3400,,<0.0500,M3M,1555569.0,2014-03-02
3399,,2.60,M6J,1556417.0,2014-03-06
3398,,2.50,M6M,1555544.0,2014-03-07
3397,,0.690,M4J,1556416.0,2014-03-07
3396,,0.0560,M4B,1555515.0,2014-03-08
3395,,<0.0500,M4P,1565880.0,2014-03-10
3394,,2.40,M6K,1555510.0,2014-03-10
3393,,0.930,M6J,1556418.0,2014-03-11
3391,,0.0790,M6P,1556414.0,2014-03-11
3390,,0.270,M4S,1556412.0,2014-03-11
3389,,7.60,M6J,1556415.0,2014-03-11
3392,,0.0619,M6M,1565882.0,2014-03-11
3388,,0.120,M4C,1559196.0,2014-03-13
3386,,0.258,M4K,1565881.0,2014-03-14
3387,,0.0680,M3H,1559192.0,2014-03-14
3384,,8.40,M6J,1560885.0,2014-03-17
3385,,0.220,M4K,1562001.0,2014-03-17
3383,,0.0938,M3J,1565892.0,2014-03-18
3382,,2.40,M5P,1562005.0,2014-03-18
3381,,0.140,M4L,1559191.0,2014-03-19
3378,,0.320,M1P,1559203.0,2014-03-20
3379,,1.90,M6K,1562002.0,2014-03-20
3380,,7.00,M4L,1561990.0,2014-03-20
3377,,3.00,M4C,1561989.0,2014-03-20
3375,,2.90,M4M,1561993.0,2014-03-21
3376,,0.850,M4C,1561992.0,2014-03-21
3373,,2.20,M6R,1560886.0,2014-03-23
3374,,0.249,M4N,1565894.0,2014-03-23
3372,,<0.0500,M8V,1560883.0,2014-03-24
3371,,1.90,M6H,1561988.0,2014-03-24
3370,,4.70,M4C,1562000.0,2014-03-24
3368,,3.60,M8W,1560882.0,2014-03-25
3369,,5.10,M4L,1561991.0,2014-03-25
3366,,3.70,M4G,1561999.0,2014-03-26
3365,,0.260,M9C,1560884.0,2014-03-26
3367,,0.0500,M1H,1560771.0,2014-03-26
3364,,0.117,M6H,1564745.0,2014-03-27
3363,,3.78,M4M,1567257.0,2014-03-27
3362,,0.732,M6H,1568757.0,2014-03-28
3361,,0.139,M1L,1563706.0,2014-03-28
3356,,0.108,M6H,1564736.0,2014-03-31
3357,,0.962,M6H,1567273.0,2014-03-31
3358,,<0.0500,M9R,1564734.0,2014-03-31
3360,,3.80,M6N,1567271.0,2014-03-31
3359,,0.472,M6H,1567270.0,2014-03-31
3351,,0.802,M4L,1563707.0,2014-04-01
3354,,2.57,M4J,1563708.0,2014-04-01
3349,,0.199,M9R,1564733.0,2014-04-02
3348,,5.66,M6K,1567259.0,2014-04-02
3344,,3.36,M4G,1567228.0,2014-04-04
3342,,3.28,M4C,1567226.0,2014-04-05
3341,,0.0990,M3H,1565893.0,2014-04-06
3338,,0.204,M2N,1565885.0,2014-04-07
3336,,0.773,M5N,1567268.0,2014-04-08
3333,,0.539,M1N,1567248.0,2014-04-08
3337,,0.0843,M4S,1568412.0,2014-04-08
3331,,1.37,M1N,1568415.0,2014-04-09
3328,,6.25,M4L,1568413.0,2014-04-10
3321,,5.17,M4L,1569992.0,2014-04-14
3322,,0.0945,M4J,1570003.0,2014-04-14
3320,,<0.0500,M6J,1570901.0,2014-04-14
3315,,0.298,M6C,1573341.0,2014-04-16
3314,,0.163,M4V,1570002.0,2014-04-16
3313,,0.500,M2M,1573056.0,2014-04-17
3311,,<0.0500,M6S,1573356.0,2014-04-21
3310,,3.18,M4T,1575139.0,2014-04-22
3308,,4.31,M6N,1570904.0,2014-04-22
3309,,0.559,M1N,1575137.0,2014-04-22
3306,,0.130,M8V,1573369.0,2014-04-23
3302,,0.459,M5R,1576198.0,2014-04-23
3301,,0.0868,M4G,1573048.0,2014-04-23
3290,,0.313,M1M,1583973.0,2014-04-25
3294,,<0.0500,M4E,1583822.0,2014-04-25
3285,,0.200,M4J,1574999.0,2014-04-27
