,PWSName,FIPS_5,CNTY_OR_CITY,POPULATION,ANALYTE_NAME,Concentration in µg/L,COLLECT_DT,Lead Amount ppb,Partial Postal Code,Sampled Date
95,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-09-02,<0.0500,M3B,2014-12-02
95,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-09-02,<0.0500,M3B,2015-11-23
95,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-09-02,<0.0500,M1N,2014-12-02
95,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-09-02,<0.0500,M1N,2015-11-23
95,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-09-02,<0.0500,M3B,2014-12-02
95,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-09-02,<0.0500,M3B,2015-11-23
95,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-09-02,<0.0500,M1N,2014-12-02
95,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-09-02,<0.0500,M1N,2015-11-23
103,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-08-26,0.748,M6H,2014-11-29
103,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-08-26,0.748,M6H,2015-11-18
103,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-08-26,0.748,M6P,2014-11-29
103,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-08-26,0.748,M6P,2015-11-18
103,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-08-26,0.654,M6H,2014-11-29
103,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-08-26,0.654,M6H,2015-11-18
103,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-08-26,0.654,M6P,2014-11-29
103,CARROLL REGIONAL WATER SYSTEM,51035,CARROLL,7500,LEAD,0.0,2015-08-26,0.654,M6P,2015-11-18
138,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.982,M4L,2014-11-18
138,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.982,M4L,2015-11-04
138,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.982,M4K,2014-11-18
138,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.982,M4K,2015-11-04
138,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.289,M4L,2014-11-18
138,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.289,M4L,2015-11-04
138,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.289,M4K,2014-11-18
138,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.289,M4K,2015-11-04
140,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-12-15,0.243,M6S,2015-11-03
144,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-06-24,0.221,M5M,2014-11-18
144,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-06-24,0.221,M5M,2015-11-02
144,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-06-24,0.221,M6C,2014-11-18
144,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-06-24,0.221,M6C,2015-11-02
144,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-06-24,4.96,M5M,2014-11-18
144,LAUREL MEADOWS HOME,51035,CARROLL,90,LEAD,0.0,2015-06-24,4.96,M5M,2015-11-02
